"from_id","to_id","confidence"
2020,10083,0.596
2010,10084,0.4664
2012,10084,0.5167
2021,10084,0.5832
2027,10084,0.4301
2047,10084,0.5034
2010,10085,0.4644
2010,10086,0.4459
2028,10086,0.5606
2034,10086,0.5407
2045,10086,0.5632
2010,10087,0.2568
2011,10090,0.582
2011,10091,0.5265
2011,10092,0.4324
2011,10093,0.3776
2011,10095,0.2015
2011,10096,0.1834
2012,10097,0.6095
2013,10097,0.6116
2017,10097,0.4656
2018,10097,0.4735
2019,10097,0.4474
2012,10098,0.4609
2013,10098,0.4563
2021,10098,0.4297
2022,10098,0.4678
2012,10099,0.3927
2021,10099,0.2854
2029,10099,0.4185
2067,10099,0.321
2083,10099,0.2154
2094,10099,0.3736
2012,10102,0.1029
2013,10104,0.508
2013,10106,0.2833
2017,10106,0.2625
2014,10107,0.527
2014,10108,0.5075
2014,10109,0.4609
2014,10110,0.4175
2014,10111,0.4039
2098,10111,0.5439
2014,10112,0.4036
2014,10113,0.3988
2014,10114,0.303
2014,10115,0.275
2015,10117,0.5287
2044,10117,0.5355
2015,10118,0.4969
2015,10119,0.4897
2015,10120,0.478
2015,10121,0.4535
2015,10122,0.4508
2034,10122,0.4673
2038,10122,0.3386
2046,10122,0.5551
2048,10122,0.4703
2072,10122,0.4847
2073,10122,0.551
2075,10122,0.5696
2077,10122,0.6457
2078,10122,0.5643
2079,10122,0.4927
2080,10122,0.5227
2081,10122,0.5181
2082,10122,0.5785
2085,10122,0.561
2087,10122,0.5288
2088,10122,0.6037
2089,10122,0.5736
2090,10122,0.5477
2091,10122,0.4628
2092,10122,0.5446
2093,10122,0.5292
2102,10122,0.4525
2015,10123,0.3933
2015,10124,0.2832
2016,10127,0.6756
2016,10128,0.5567
2045,10128,0.5655
2016,10129,0.5301
2068,10129,0.5398
2016,10130,0.4715
2017,10133,0.5923
2017,10134,0.4792
2047,10134,0.5447
2017,10135,0.2375
2018,10137,0.5992
2018,10138,0.5053
2018,10139,0.3705
2018,10140,0.3368
2019,10142,0.6855
2020,10145,0.7051
2020,10146,0.3373
2020,10147,0.2804
2024,10147,0.3115
2026,10147,0.2752
2036,10147,0.3204
2086,10147,0.3406
2101,10147,0.5225
2020,10148,0.1748
2021,10149,0.6295
2048,10149,0.6751
