"from_id","to_id","strength"
50000,2001,1
50001,2001,1
50002,2001,1
50003,2001,1
50004,2001,1
50005,2001,1
50006,2001,1
50007,2001,1
50008,2001,1
50009,2001,1
50010,2002,1
50011,2002,1
50012,2002,1
50013,2002,1
50014,2002,1
50015,2002,1
50016,2002,1
50017,2002,1
50018,2002,1
50019,2002,1
50020,2003,1
50021,2003,1
50022,2003,1
50023,2003,1
50024,2003,1
50025,2003,1
50026,2003,1
50027,2003,1
50028,2003,1
50029,2003,1
50030,2004,1
50031,2004,1
50032,2004,1
50033,2004,1
50034,2004,1
50035,2004,1
50035,2019,1
50036,2004,1
50037,2004,1
50038,2004,1
50039,2004,1
50040,2005,1
50041,2005,1
50042,2005,1
50043,2005,1
50044,2005,1
50045,2005,1
50046,2005,1
50047,2005,1
50048,2005,1
50049,2005,1
50049,2008,1
50049,2039,1
50049,2056,1
50049,2083,1
50050,2005,1
50051,2005,1
50052,2006,1
50053,2006,1
50054,2006,1
50054,2025,1
50055,2006,1
50056,2006,1
50057,2006,1
50058,2006,1
50059,2006,1
50060,2006,1
50061,2006,1
50062,2006,1
50063,2007,1
50064,2007,1
50064,2011,1
50064,2039,1
50064,2047,1
50065,2007,1
50066,2007,1
50067,2007,1
50068,2007,1
50069,2007,1
50070,2007,1
50071,2007,1
50072,2007,1
50072,2028,1
50073,2007,1
50074,2007,1
50075,2008,1
50076,2008,1
50077,2008,1
50078,2008,1
50079,2008,1
50080,2008,1
50081,2008,1
50082,2008,1
50083,2008,1
50084,2008,1
50085,2008,1
50086,2009,1
50087,2009,1
50088,2009,1
50089,2009,1
50090,2009,1
50091,2009,1
50092,2009,1
50093,2009,1
50094,2009,1
50095,2009,1
50096,2009,1
50097,2009,1
50098,2010,1
50099,2010,1
50100,2010,1
50100,2011,1
50101,2010,1
50102,2010,1
50103,2010,1
50104,2010,1
50105,2010,1
50106,2010,1
50107,2010,1
50108,2010,1
50109,2010,1
50110,2011,1
50111,2011,1
50112,2011,1
50112,2041,1
50113,2011,1
50114,2011,1
50115,2011,1
50116,2011,1
50117,2011,1
50118,2012,1
50119,2012,1
50120,2012,1
50121,2012,1
50122,2012,1
50123,2012,1
50124,2012,1
50125,2012,1
50125,2020,1
50125,2031,1
50126,2012,1
50127,2012,1
50128,2013,1
50129,2013,1
50130,2013,1
50131,2013,1
50132,2013,1
50133,2013,1
50134,2013,1
50135,2013,1
50136,2013,1
50137,2013,1
50138,2013,1
50139,2013,1
50140,2014,1
50141,2014,1
50142,2014,1
50143,2014,1
50144,2014,1
50145,2014,1
50146,2014,1
50147,2014,1
50148,2014,1
50149,2014,1
50150,2014,1
50151,2014,1
50152,2015,1
50153,2015,1
50154,2015,1
50155,2015,1
50156,2015,1
50157,2015,1
50158,2015,1
50159,2015,1
50160,2015,1
50161,2015,1
50162,2016,1
50163,2016,1
50164,2016,1
50165,2016,1
50166,2016,1
50167,2016,1
50168,2016,1
50169,2016,1
50170,2016,1
50171,2016,1
50172,2017,1
50173,2017,1
50174,2017,1
50175,2017,1
50176,2017,1
50177,2017,1
50178,2017,1
50179,2017,1
50180,2017,1
50181,2017,1
50182,2018,1
50183,2018,1
50184,2018,1
50185,2018,1
50186,2018,1
50187,2018,1
50188,2018,1
50189,2018,1
50190,2018,1
50191,2018,1
50192,2019,1
50193,2019,1
50194,2019,1
50195,2019,1
50196,2019,1
50197,2019,1
50198,2019,1
50199,2019,1
50200,2019,1
50201,2019,1
50202,2019,1
50203,2020,1
50204,2020,1
50205,2020,1
50206,2020,1
50207,2020,1
50208,2020,1
50209,2020,1
50210,2020,1
50211,2020,1
50212,2020,1
50213,2020,1
50214,2021,1
50215,2021,1
50216,2021,1
50217,2021,1
50218,2021,1
50219,2021,1
50220,2021,1
50220,2027,1
50221,2021,1
50222,2021,1
50223,2021,1
50224,2021,1
50225,2021,1
50226,2022,1
50227,2022,1
50228,2022,1
50228,2088,1
50229,2022,1
50230,2022,1
50231,2022,1
50232,2022,1
50233,2022,1
50234,2022,1
50235,2022,1
50236,2023,1
50237,2023,1
50238,2023,1
50239,2023,1
50240,2023,1
50241,2023,1
50242,2023,1
50243,2023,1
50244,2023,1
50245,2023,1
50246,2023,1
50247,2023,1
50248,2024,1
50249,2024,1
50250,2024,1
50251,2024,1
50252,2024,1
50253,2024,1
50254,2024,1
50255,2024,1
50256,2024,1
50257,2024,1
50258,2025,1
50259,2025,1
50260,2025,1
50261,2025,1
50262,2025,1
50263,2025,1
50264,2025,1
50265,2025,1
50266,2025,1
50267,2025,1
50268,2025,1
50269,2025,1
50270,2026,1
50271,2026,1
50272,2026,1
50273,2026,1
50274,2026,1
50275,2026,1
50276,2026,1
50276,2084,1
50277,2026,1
50278,2026,1
50279,2026,1
50280,2026,1
50281,2026,1
50282,2027,1
50283,2027,1
50284,2027,1
50285,2027,1
50286,2027,1
50287,2027,1
50288,2027,1
50289,2027,1
50290,2027,1
50291,2027,1
50292,2027,1
50293,2028,1
50294,2028,1
50295,2028,1
50296,2028,1
50297,2028,1
50298,2028,1
50299,2028,1
50300,2028,1
50301,2028,1
50302,2028,1
50303,2028,1
50304,2029,1
50305,2029,1
50306,2029,1
50307,2029,1
50308,2029,1
50309,2029,1
50310,2029,1
50311,2029,1
50312,2029,1
50313,2029,1
50314,2029,1
50315,2029,1
50316,2030,1
50317,2030,1
50318,2030,1
50319,2030,1
50320,2030,1
50321,2030,1
50322,2030,1
50323,2030,1
50324,2030,1
50325,2030,1
50326,2030,1
50327,2030,1
50328,2031,1
50329,2031,1
50330,2031,1
50331,2031,1
50332,2031,1
50333,2031,1
50334,2031,1
50335,2031,1
50336,2031,1
50337,2032,1
50338,2032,1
50339,2032,1
50340,2032,1
50341,2032,1
50342,2032,1
50343,2032,1
50344,2032,1
50345,2032,1
50346,2032,1
50347,2033,1
50348,2033,1
50349,2033,1
50350,2033,1
50351,2033,1
50352,2033,1
50353,2033,1
50354,2033,1
50355,2033,1
50356,2033,1
50357,2034,1
50358,2034,1
50359,2034,1
50360,2034,1
50361,2034,1
50362,2034,1
50363,2034,1
50364,2034,1
50365,2034,1
50366,2034,1
50367,2035,1
50368,2035,1
50369,2035,1
50370,2035,1
50370,2036,1
50371,2035,1
50372,2035,1
50373,2035,1
50374,2035,1
50375,2035,1
50376,2035,1
50377,2036,1
50378,2036,1
50379,2036,1
50380,2036,1
50381,2036,1
50382,2036,1
50383,2036,1
50384,2036,1
50385,2036,1
50386,2037,1
50387,2037,1
50388,2037,1
50389,2037,1
50390,2037,1
50391,2037,1
50392,2037,1
50393,2037,1
50394,2037,1
50395,2037,1
50396,2038,1
50397,2038,1
50398,2038,1
50399,2038,1
50400,2038,1
50401,2038,1
50402,2038,1
50403,2038,1
50404,2038,1
50405,2038,1
50406,2038,1
50407,2038,1
50408,2039,1
50409,2039,1
50410,2039,1
50411,2039,1
50412,2039,1
50413,2039,1
50414,2039,1
50415,2039,1
50416,2039,1
50417,2039,1
50418,2040,1
50419,2040,1
50420,2040,1
50421,2040,1
50422,2040,1
50423,2040,1
50424,2040,1
50425,2040,1
50426,2040,1
50427,2040,1
50428,2040,1
50429,2040,1
50430,2041,1
50431,2041,1
50431,2046,1
50432,2041,1
50433,2041,1
50434,2041,1
50435,2041,1
50436,2041,1
50437,2041,1
50438,2041,1
50439,2041,1
50440,2041,1
50441,2042,1
50442,2042,1
50443,2042,1
50444,2042,1
50445,2042,1
50446,2042,1
50447,2042,1
50448,2042,1
50449,2042,1
50450,2042,1
50451,2043,1
50452,2043,1
50453,2043,1
50454,2043,1
50455,2043,1
50456,2043,1
50457,2043,1
50458,2043,1
50459,2043,1
50460,2043,1
50461,2043,1
50462,2043,1
50463,2044,1
50464,2044,1
50465,2044,1
50466,2044,1
50467,2044,1
50468,2044,1
50469,2044,1
50470,2044,1
50471,2044,1
50472,2044,1
50473,2045,1
50474,2045,1
50475,2045,1
50476,2045,1
50477,2045,1
